FECHAINGRESO	CODIGO	DESCRIPCION	CAPITULO	DESCRIPCIONCAPITULO	PARTIDA	DESCRIPCIONPARTIDA	SUBPARTIDA	NECESITACODIGOARANCEL	MERCANCIAPELIGROSA	
2024/05/21 13:38:26	220429	LOS DEMAS VINOS DE UVAS FRESCAS	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	04	VINO DE UVAS;  INCLUSO ENCABEZADO; MOSTO DE UVA;  EXCEPTO EL DE LA PARTIDA 200	29	.	 	
2024/05/21 13:37:56	220422	LOS DEMAS VINOS EN RECIPIENTES CON CAPACIDAD SUPERIOR A 2 LITROS PERO INFERIOR O IGUAL A 2 LITROS	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	04	VINO DE UVAS;  INCLUSO ENCABEZADO; MOSTO DE UVA;  EXCEPTO EL DE LA PARTIDA 200	22	.	 	
2024/05/21 13:37:00	220421	VINOS EN RECIPIENTES CON CAPACIDAD IGUAL O INFEROR A 2 LITROS	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	04	VINO DE UVAS;  INCLUSO ENCABEZADO; MOSTO DE UVA;  EXCEPTO EL DE LA PARTIDA 200	21	.	 	
2024/05/21 13:33:19	220410	VINO ESPUMOSO	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	04	VINO DE UVAS;  INCLUSO ENCABEZADO; MOSTO DE UVA;  EXCEPTO EL DE LA PARTIDA 200	10	.	 	
2024/05/21 13:32:15	220300	CERVEZA DE MALTA	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	03	CERVEZA DE MALTA	00	.	 	
2024/01/31 06:54:28	251621	ARENISCA EN BRUTO O DESBASTADA	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	16	GRANITO;  PORFIDO;  BASALTO;  ARENISCA Y DEMAS PIEDRAS DE TALLA O DE CONSTRUCC	21	.	 	
2024/01/31 06:54:53	251611	GRANITO EN BRUTO O DESBASTADO	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	16	GRANITO;  PORFIDO;  BASALTO;  ARENISCA Y DEMAS PIEDRAS DE TALLA O DE CONSTRUCC	11	.	 	
2024/01/31 06:51:31	251520	PIEDRAS CALIZAS DE TALLA O DE CONSTRUCCION	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	15	MARMOL;  TRAVERTINOS;  ECAUSSINES Y DEMAS PIEDRASCALIZAS DE TALLA O DE CONSTRU	20	.	 	
2024/01/31 06:49:54	251311	PIEDRA POMEZ EN BRUTO O TROZOS IRREGULARES	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	13	PIEDRA POMEZ; ESMERIL; CORINDON NATURAL;  GRANATE NATURAL Y DEMAS ABRASIVOS NA	11	.	 	
2024/01/31 06:39:48	250820	TIERRAS DECOLORANTES Y TIERRAS DE BATAN	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	08	LAS DEMAS ARCILLAS (CON EXCLUSION DE LAS ARCILLAS DILATADAS DE LA PARTIDA 6806	20	.	 	
